τs,hipm,wow,dm,energy
0.1,1.0,1.0,1.0,1.0
0.15,1.0,1.0,1.0,1.0
0.2,1.0,1.0,1.0,1.0
0.25,1.0,1.0,1.0,0.999
0.3,1.0,1.0,1.0,0.995
0.35,1.0,1.0,1.0,0.99
0.4,0.997,0.999,1.0,0.978
0.45,0.988,0.993,1.0,0.923
0.5,0.957,0.979,1.0,0.809
0.55,0.874,0.941,1.0,0.679
0.6,0.755,0.832,0.998,0.525
0.65,0.555,0.657,0.985,0.363
0.7,0.361,0.48,0.919,0.235
0.75,0.235,0.301,0.791,0.136
0.8,0.119,0.161,0.569,0.079
0.85,0.088,0.1,0.357,0.065
0.9,0.053,0.068,0.154,0.053
0.95,0.052,0.054,0.077,0.052
1.0,0.046,0.049,0.058,0.045
1.05,0.052,0.053,0.084,0.046
1.1,0.063,0.076,0.151,0.055
1.15,0.076,0.093,0.259,0.066
1.2,0.105,0.141,0.382,0.08
1.25,0.168,0.207,0.572,0.119
1.3,0.205,0.275,0.712,0.162
1.35,0.299,0.378,0.795,0.198
1.4,0.391,0.456,0.879,0.243
1.45,0.48,0.586,0.947,0.327
1.5,0.596,0.685,0.972,0.43
1.55,0.689,0.762,0.987,0.512
1.6,0.764,0.832,0.993,0.59
1.65,0.842,0.902,0.995,0.674
1.7,0.885,0.927,0.999,0.732
1.75,0.935,0.966,0.999,0.818
1.8,0.957,0.983,1.0,0.871
1.85,0.974,0.985,1.0,0.918
1.9,0.981,0.992,1.0,0.94
1.95,0.996,1.0,1.0,0.967
2.0,0.994,0.992,1.0,0.968
2.05,0.998,0.999,1.0,0.98
2.1,0.999,0.999,1.0,0.994
2.15,1.0,1.0,1.0,0.995
2.2,1.0,1.0,1.0,0.996
2.25,1.0,1.0,1.0,1.0
2.3,1.0,1.0,1.0,0.999
2.35,1.0,1.0,1.0,0.999
2.4,1.0,1.0,1.0,1.0
2.45,1.0,1.0,1.0,0.999
2.5,1.0,1.0,1.0,1.0
