λs,hipm,wow,dm,energy
0.0,1.0,1.0,0.051,1.0
0.05,1.0,1.0,0.049,1.0
0.1,1.0,1.0,0.045,1.0
0.15,1.0,1.0,0.066,1.0
0.2,1.0,1.0,0.048,1.0
0.25,1.0,1.0,0.06,1.0
0.3,1.0,1.0,0.06,1.0
0.35,1.0,1.0,0.061,1.0
0.4,1.0,1.0,0.064,1.0
0.45,1.0,1.0,0.054,0.999
0.5,0.996,0.997,0.075,0.988
0.55,0.99,0.987,0.057,0.941
0.6,0.928,0.922,0.068,0.806
0.65,0.725,0.723,0.05,0.571
0.7,0.43,0.428,0.059,0.373
0.75,0.168,0.177,0.075,0.197
0.8,0.083,0.082,0.052,0.114
0.85,0.071,0.067,0.064,0.082
0.9,0.048,0.041,0.081,0.055
0.95,0.051,0.054,0.096,0.048
1.0,0.053,0.055,0.052,0.057
