repeat,m,fp_hipm,fp_wow
1,10,0.053,0.053
1,20,0.061,0.049
1,30,0.059,0.058
1,40,0.059,0.058
1,50,0.056,0.058
2,10,0.044,0.046
2,20,0.045,0.042
2,30,0.042,0.046
2,40,0.047,0.045
2,50,0.05,0.056
3,10,0.05,0.041
3,20,0.049,0.039
3,30,0.037,0.044
3,40,0.039,0.041
3,50,0.038,0.05
4,10,0.056,0.052
4,20,0.054,0.058
4,30,0.063,0.059
4,40,0.056,0.064
4,50,0.058,0.065
5,10,0.041,0.042
5,20,0.042,0.046
5,30,0.034,0.044
5,40,0.039,0.044
5,50,0.046,0.046
6,10,0.066,0.055
6,20,0.06,0.053
6,30,0.055,0.052
6,40,0.048,0.047
6,50,0.052,0.051
7,10,0.048,0.053
7,20,0.056,0.048
7,30,0.052,0.053
7,40,0.042,0.051
7,50,0.046,0.05
8,10,0.046,0.048
8,20,0.048,0.042
8,30,0.045,0.049
8,40,0.044,0.044
8,50,0.05,0.046
9,10,0.052,0.055
9,20,0.058,0.053
9,30,0.049,0.045
9,40,0.044,0.045
9,50,0.051,0.046
10,10,0.056,0.048
10,20,0.058,0.058
10,30,0.052,0.053
10,40,0.05,0.06
10,50,0.056,0.055
